sha,ccg_code,year,month,registered_patients,diabetes_patients,total_spend,per_capita_spend
Q34,05V,2013,03,117347.0,6083.0,171438.94000000003,28.18328785138912
Q34,05W,2013,03,215439.0,14890.0,320912.1799999998,21.552194761584943
Q34,05X,2013,03,134097.0,7812.0,213671.40999999997,27.351690988223243
Q34,05Y,2013,03,204402.0,15762.0,352406.89,22.35800596371019
Q34,06A,2013,03,204901.0,14617.0,402758.8100000001,27.55413627967436
Q34,06D,2013,03,90218.0,5279.0,146618.16999999998,27.773853002462584
Q35,06F,2013,03,338882.0,18990.0,447050.5199999998,23.541364928909942
Q33,06H,2013,03,13950.0,716.0,14885.509999999998,20.78981843575419
Q35,06H,2013,03,661722.0,34055.0,777537.0800000001,22.831803846718547
Q35,06K,2013,03,444661.0,22263.0,555856.51,24.967727170641872
Q35,06L,2013,03,310118.0,15868.0,348589.24999999994,21.96806465843206
Q35,06M,2013,03,189366.0,11777.0,259339.65000000002,22.020858452916706
Q35,06N,2013,03,466617.0,21206.0,472279.1399999999,22.271014807130054
Q35,06P,2013,03,156631.0,10478.0,235510.31999999992,22.476648215308256
Q35,06Q,2013,03,301985.0,15807.0,393860.2199999999,24.91682292655152
Q35,06T,2013,03,263332.0,15400.0,389176.26999999984,25.271186363636353
Q35,06V,2013,03,139856.0,8236.0,184600.11999999997,22.41380767362797
Q35,06W,2013,03,167174.0,7296.0,181870.45999999996,24.92742050438596
Q35,06Y,2013,03,176910.0,9468.0,241895.30999999994,25.548723067173633
Q35,07G,2013,03,119924.0,6902.0,179029.18000000002,25.938739495798323
Q35,07H,2013,03,229117.0,12391.0,298611.73999999993,24.09908320555241
Q35,07J,2013,03,134276.0,9583.0,251410.81,26.23508400292184
Q35,07K,2013,03,190836.0,10002.0,276357.18,27.63019196160768
Q36,07L,2013,03,142339.0,8796.0,225297.41000000006,25.613620964074585
Q36,07M,2013,03,288647.0,16334.0,399282.5200000001,24.444870821599125
Q36,07N,2013,03,179414.0,10323.0,250920.35999999996,24.30692240627724
Q36,07P,2013,03,276239.0,19022.0,358988.65000000014,18.87228735148776
Q36,07Q,2013,03,253757.0,12722.0,301782.36999999994,23.721299324005656
Q36,07R,2013,03,203003.0,7334.0,157137.46999999997,21.42588901008999
Q36,07T,2013,03,218009.0,11105.0,320364.7,28.84868977937866
Q36,07V,2013,03,301680.0,17273.0,373593.81,21.628773808834598
Q36,07W,2013,03,299269.0,19285.0,395028.0299999999,20.483693544205337
Q36,07X,2013,03,211081.0,13198.0,286145.32999999996,21.68096150931959
Q36,07Y,2013,03,205967.0,12366.0,305276.24000000005,24.686741064208316
Q36,08A,2013,03,212653.0,10883.0,272252.63999999996,25.016322705136446
Q36,08C,2013,03,157333.0,6639.0,171339.9,25.808088567555355
Q36,08D,2013,03,216825.0,11316.0,229148.32,20.249939908094735
Q36,08E,2013,03,187967.0,13719.0,255432.19000000003,18.618863619797363
Q36,08F,2013,03,204491.0,11013.0,270883.08999999997,24.596666666666664
Q36,08G,2013,03,214206.0,12692.0,324308.97000000003,25.552235266309488
Q36,08H,2013,03,175636.0,8352.0,167875.41,20.10002514367816
Q36,08J,2013,03,149041.0,6666.0,154291.66,23.146063606360638
Q36,08K,2013,03,306348.0,12883.0,269923.4999999999,20.951913374214072
Q36,08L,2013,03,231350.0,12411.0,286191.83999999997,23.059531061155425
Q36,08M,2013,03,268967.0,18291.0,451909.81,24.706675960855065
Q36,08N,2013,03,213037.0,14936.0,352075.7500000002,23.572291778253895
Q36,08P,2013,03,155429.0,5114.0,124764.0,24.39655846695346
Q36,08Q,2013,03,259187.0,11571.0,245501.79999999996,21.216990752743925
Q36,08R,2013,03,168414.0,8517.0,205062.84000000005,24.076886227544918
Q36,08T,2013,03,142037.0,7444.0,179230.45999999993,24.07717087587318
Q36,08V,2013,03,209768.0,12269.0,276556.92,22.5411133751732
Q36,08W,2013,03,221026.0,12986.0,308083.98,23.724316956722625
Q36,08X,2013,03,299669.0,11673.0,292512.33999999997,25.05888289214426
Q36,08Y,2013,03,195192.0,7745.0,204716.10000000006,26.4320335700452
Q36,09A,2013,03,165985.0,5820.0,146602.89999999997,25.18950171821305
Q37,09C,2013,03,93487.0,5141.0,136264.53,26.505452246644623
Q37,09D,2013,03,246425.0,9457.0,253436.54000000004,26.798830495928947
Q37,09E,2013,03,170878.0,9221.0,243316.48999999993,26.387212883635172
Q37,09F,2013,03,152396.0,8483.0,202790.94,23.90556878462808
Q37,09G,2013,03,395058.0,22445.0,645415.6699999998,28.755431944753834
Q37,09H,2013,03,97051.0,5375.0,164687.28999999998,30.639495813953484
Q37,09J,2013,03,191882.0,10425.0,291713.75999999995,27.982135251798557
Q37,09L,2013,03,129916.0,5887.0,161222.58,27.386203499235602
Q37,09N,2013,03,169943.0,7130.0,195246.30000000002,27.383772791023844
Q37,09P,2013,03,147619.0,8451.0,244503.62,28.93191574961543
Q37,09W,2013,03,215197.0,13577.0,336992.6799999999,24.820849966855704
Q37,09X,2013,03,178339.0,8173.0,218141.42999999996,26.690496757616536
Q37,09Y,2013,03,277925.0,14210.0,361427.9900000001,25.434763546798038
Q37,10A,2013,03,158284.0,9803.0,256325.47000000003,26.14765581964705
Q37,10C,2013,03,72551.0,3529.0,95877.32999999999,27.16841314820062
Q37,10D,2013,03,83012.0,5459.0,132939.71,24.352392379556694
Q37,10E,2013,03,111096.0,7364.0,188533.84,25.60209668658338
Q38,10G,2013,03,105928.0,4946.0,136824.61999999997,27.663691872219967
Q38,10H,2013,03,252815.0,12259.0,304438.51000000007,24.833877967207773
Q38,10J,2013,03,168882.0,8878.0,211361.5,23.80733273259743
